"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Window","Previous Editor","Alt+K","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","New","Ctrl+N","In Windows"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Views","Show View (Hierarchy)","Alt+Shift+Q, T","JavaScript View"
"Window","Next Editor","Alt+J","In Windows"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"JAutodoc","Add Header with Dialog","Ctrl+Alt+O","Editing Java Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Window","Toggle Toolbar Visibility","Shift+F10","In Windows"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Find Previous","Ctrl+Shift+K","Embedded Xtext Editor context"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"File","Rename","F2","In Windows"
